From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
WP_003957247.1	B5GZ80	unreviewed	B5GZ80_STRCL	Sugar ABC transporter permease protein	SCLAV_1521	Streptomyces clavuligerus	276
WP_003957246.1	B5GZ79	unreviewed	B5GZ79_STRCL	2-deoxy-scyllo-inosamine dehydrogenase (EC 1.1.1.329)	SCLAV_1520	Streptomyces clavuligerus	329
WP_003960307.1	E2Q1W8	unreviewed	E2Q1W8_STRCL	Twin-arginine translocation pathway signal (EC 1.11.1.10)	SCLAV_1519	Streptomyces clavuligerus	341
WP_003957244.1	B5GZ77	unreviewed	B5GZ77_STRCL	Peptidase C45, acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase (EC 2.3.1.164)	SCLAV_1518	Streptomyces clavuligerus	375
WP_003960305.1	E2Q1W5	unreviewed	E2Q1W5_STRCL	DNA-binding protein	SCLAV_1516	Streptomyces clavuligerus	294
WP_003957238.1	B5GZ73	unreviewed	B5GZ73_STRCL	Serine protease 2	SCLAV_1514	Streptomyces clavuligerus	297
WP_003957237.1	B5GZ72	unreviewed	B5GZ72_STRCL	Predicted hydrolase or acyltransferase of alpha/beta superfamily	SCLAV_1513	Streptomyces clavuligerus	254
WP_003957235.1	B5GZ70	unreviewed	B5GZ70_STRCL	Putative dehydrogenase	SCLAV_1511	Streptomyces clavuligerus	256
WP_003957234.1	B5GZ69	unreviewed	B5GZ69_STRCL	Putative alkaline phosphatase	SCLAV_1510	Streptomyces clavuligerus	556
WP_003960303.1	E2Q1V8	unreviewed	E2Q1V8_STRCL	Major facilitator superfamily permease	SCLAV_1509	Streptomyces clavuligerus	478
WP_003960302.1	E2Q1V7	unreviewed	E2Q1V7_STRCL	Secreted protein	SCLAV_1508	Streptomyces clavuligerus	470
WP_003960301.1	E2Q1V6	unreviewed	E2Q1V6_STRCL	Ribosomal small subunit Rsm22	SCLAV_1507	Streptomyces clavuligerus	338
WP_003960297.1	E2Q1V2	unreviewed	E2Q1V2_STRCL	FTR1 domain-containing protein	SCLAV_1503	Streptomyces clavuligerus	275
WP_003960296.1	E2Q1V1	unreviewed	E2Q1V1_STRCL	Putative iron ABC transporter ATP-binding protein (EC 3.6.3.34)	hmuV SCLAV_1502	Streptomyces clavuligerus	289
WP_003960295.1	E2Q1V0	unreviewed	E2Q1V0_STRCL	Putative FecCD-family membrane transport protein	SCLAV_1501	Streptomyces clavuligerus	356
WP_003960291.1	E2Q1U6	unreviewed	E2Q1U6_STRCL	Putative secreted protein	SCLAV_1497	Streptomyces clavuligerus	590
WP_003960290.1	E2Q1U5	unreviewed	E2Q1U5_STRCL	Phenazine biosynthesis PhzC/PhzF protein	SCLAV_1496	Streptomyces clavuligerus	251
WP_003960289.1	E2Q1U4	unreviewed	E2Q1U4_STRCL	Heme oxygenase (EC 1.14.99.3)	hmuO SCLAV_1495	Streptomyces clavuligerus	224
WP_003956620.1	B5GXI6	unreviewed	B5GXI6_STRCL	Methionine aminopeptidase (MAP) (MetAP) (EC 3.4.11.18) (Peptidase M)	map SCLAV_1494	Streptomyces clavuligerus	285
WP_003956619.1	B5GXI5	unreviewed	B5GXI5_STRCL	SPOR domain-containing protein	SCLAV_1493	Streptomyces clavuligerus	77
WP_003960288.1	E2Q1U1	unreviewed	E2Q1U1_STRCL	Putative permease of the major facilitator superfamily	SCLAV_1492	Streptomyces clavuligerus	448
WP_003956616.1	B5GXI3	unreviewed	B5GXI3_STRCL	SIS domain-containing protein	SCLAV_1491	Streptomyces clavuligerus	201
WP_003956611.1	B5GXH7	unreviewed	B5GXH7_STRCL	Transport permease protein	SCLAV_1484	Streptomyces clavuligerus	293
WP_003960284.1	E2Q1T4	unreviewed	E2Q1T4_STRCL	Putative ABC transporter ATP-binding protein	SCLAV_1483	Streptomyces clavuligerus	335
WP_003956608.1	B5GXH4	unreviewed	B5GXH4_STRCL	Putative membrane protein	SCLAV_1481	Streptomyces clavuligerus	341
WP_003960282.1	E2Q1T1	unreviewed	E2Q1T1_STRCL	Glutamine-dependent NAD(+) synthetase (EC 6.3.5.1) (NAD(+) synthase [glutamine-hydrolyzing])	nadE SCLAV_1480	Streptomyces clavuligerus	586
WP_003960281.1	E2Q1T0	unreviewed	E2Q1T0_STRCL	Putative multicopper oxidase	SCLAV_1479	Streptomyces clavuligerus	556
WP_003960280.1	E2Q1S9	unreviewed	E2Q1S9_STRCL	Secreted protein	SCLAV_1478	Streptomyces clavuligerus	137
WP_003956601.1	B5GXG8	unreviewed	B5GXG8_STRCL	Membrane protein	SCLAV_1474	Streptomyces clavuligerus	216
WP_003956597.1	B5GXG5	unreviewed	B5GXG5_STRCL	Pyridoxamine-phosphate oxidase	SCLAV_1471	Streptomyces clavuligerus	172
WP_003956596.1	B5GXG4	unreviewed	B5GXG4_STRCL	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme (ATP:glutamine synthetase adenylyltransferase) (ATase) [Includes: Glutamine synthetase adenylyl-L-tyrosine phosphorylase (EC 2.7.7.89) (Adenylyl removase) (AR) (AT-N); Glutamine synthetase adenylyl transferase (EC 2.7.7.42) (Adenylyl transferase) (AT) (AT-C)]	glnE SCLAV_1470	Streptomyces clavuligerus	996
WP_003960274.1	E2Q1S0	unreviewed	E2Q1S0_STRCL	Tetracycline repressor	SCLAV_1469	Streptomyces clavuligerus	204
WP_003956594.1	B5GXG2	unreviewed	B5GXG2_STRCL	Putative amino acid permease	SCLAV_1468	Streptomyces clavuligerus	515
WP_003960273.1	E2Q101	unreviewed	E2Q101_STRCL	Amidohydrolase family protein	SCLAV_1467	Streptomyces clavuligerus	526
WP_003956588.1	B5GXF6	unreviewed	B5GXF6_STRCL	Putative pterin-4-alpha-carbinolamine dehydratase (EC 4.2.1.96)	SCLAV_1462	Streptomyces clavuligerus	105
WP_003956587.1	B5GXF5	unreviewed	B5GXF5_STRCL	YCII-related domain-containing protein	SCLAV_1460	Streptomyces clavuligerus	108
WP_003956585.1	B5GXF3	unreviewed	B5GXF3_STRCL	Transcriptional regulator	SCLAV_1458	Streptomyces clavuligerus	270
WP_003956579.1	B5GXF0	unreviewed	B5GXF0_STRCL	ADP-ribose pyrophosphatase	SCLAV_1454	Streptomyces clavuligerus	165
WP_003960268.1	E2Q0Y8	unreviewed	E2Q0Y8_STRCL	Alkaline d-peptidase	SCLAV_1453	Streptomyces clavuligerus	420
WP_003960267.1	E2Q0Y7	unreviewed	E2Q0Y7_STRCL	Integral membrane protein	SCLAV_1452	Streptomyces clavuligerus	301
WP_003956574.1	B5GXE5	unreviewed	B5GXE5_STRCL	Carbohydrate ABC transporter membrane protein	SCLAV_1449	Streptomyces clavuligerus	304
WP_003956573.1	B5GXE4	unreviewed	B5GXE4_STRCL	Transport systems inner membrane protein	SCLAV_1448	Streptomyces clavuligerus	313
WP_003956572.1	B5GXE3	unreviewed	B5GXE3_STRCL	Carbohydrate ABC transporter substrate-binding protein, CUT1 family	SCLAV_1447	Streptomyces clavuligerus	433
WP_003956570.1	B5GXE1	unreviewed	B5GXE1_STRCL	alpha-amylase (EC 3.2.1.1)	SCLAV_1444	Streptomyces clavuligerus	1774
WP_003960264.1	E2Q0X9	unreviewed	E2Q0X9_STRCL	Putative tetR-family transcriptional regulator	SCLAV_1443	Streptomyces clavuligerus	244
WP_003960262.1	E2Q0X7	unreviewed	E2Q0X7_STRCL	Putative two-component system response regulator	SCLAV_1441	Streptomyces clavuligerus	215
WP_003960257.1	E2Q0X2	unreviewed	E2Q0X2_STRCL	Transcriptional regulator, LysR family	SCLAV_1436	Streptomyces clavuligerus	298
WP_003960254.1	E2Q0W9	unreviewed	E2Q0W9_STRCL	Putative regulatory protein	SCLAV_1433	Streptomyces clavuligerus	231
WP_003960250.1	E2Q0W5	unreviewed	E2Q0W5_STRCL	Putative oxidoreductase	SCLAV_1429	Streptomyces clavuligerus	302
WP_003960247.1	E2Q0W2	unreviewed	E2Q0W2_STRCL	MOSC domain protein beta barrel domain protein	SCLAV_1426	Streptomyces clavuligerus	300
WP_003955703.1	B5GV36	unreviewed	B5GV36_STRCL	GCN5-related N-acetyltransferase	SCLAV_1425	Streptomyces clavuligerus	197
WP_003955702.1	B5GV35	unreviewed	B5GV35_STRCL	Porphobilinogen deaminase (PBG) (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase)	hemC SCLAV_1424	Streptomyces clavuligerus	311
WP_003955700.1	B5GV33	unreviewed	B5GV33_STRCL	Uncharacterized protein	SCLAV_1422	Streptomyces clavuligerus	298
WP_003955698.1	B5GV31	unreviewed	B5GV31_STRCL	Uncharacterized protein	SCLAV_1420	Streptomyces clavuligerus	320
WP_003955692.1	B5GV25	unreviewed	B5GV25_STRCL	Integral membrane protein	SCLAV_1414	Streptomyces clavuligerus	235
WP_003960242.1	E2Q0U9	unreviewed	E2Q0U9_STRCL	Uncharacterized protein	SCLAV_1413	Streptomyces clavuligerus	87
WP_003955690.1	B5GV23	unreviewed	B5GV23_STRCL	Lipoyl synthase (EC 2.8.1.8) (Lip-syn) (LS) (Lipoate synthase) (Lipoic acid synthase) (Sulfur insertion protein LipA)	lipA SCLAV_1411	Streptomyces clavuligerus	325
WP_003955689.1	B5GV22	unreviewed	B5GV22_STRCL	Octanoyltransferase (EC 2.3.1.181) (Lipoate-protein ligase B) (Lipoyl/octanoyl transferase) (Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase)	lipB SCLAV_1410	Streptomyces clavuligerus	264
WP_003960240.1	E2Q0U5	unreviewed	E2Q0U5_STRCL	Regulatory protein	SCLAV_1409	Streptomyces clavuligerus	509
WP_003960237.1	E2Q0U2	unreviewed	E2Q0U2_STRCL	Acetyltransferase	SCLAV_1406	Streptomyces clavuligerus	163
WP_003960234.1	E2Q0T9	unreviewed	E2Q0T9_STRCL	Putative DeoR-family transcriptional regulator	SCLAV_1403	Streptomyces clavuligerus	327
WP_003960233.1	E2Q0T8	unreviewed	E2Q0T8_STRCL	Putative MerR-family transcriptional regulator	SCLAV_1402	Streptomyces clavuligerus	277
WP_003955678.1	B5GV11	unreviewed	B5GV11_STRCL	GntR-family transcriptional regulator	SCLAV_1400	Streptomyces clavuligerus	207
WP_003960231.1	E2Q0T5	unreviewed	E2Q0T5_STRCL	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.-)	SCLAV_1399	Streptomyces clavuligerus	594
WP_003960230.1	E2Q0T3	unreviewed	E2Q0T3_STRCL	Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase)	ampA pepA SCLAV_1397	Streptomyces clavuligerus	507
WP_003955671.1	B5GV04	unreviewed	B5GV04_STRCL	Putative integral membrane protein	SCLAV_1395	Streptomyces clavuligerus	250
WP_003955670.1	B5GV03	unreviewed	B5GV03_STRCL	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (NN:DBI PRT) (EC 2.4.2.21) (N(1)-alpha-phosphoribosyltransferase)	cobT SCLAV_1394	Streptomyces clavuligerus	390
WP_003955666.1	B5GV00	unreviewed	B5GV00_STRCL	Uncharacterized protein	SCLAV_1391	Streptomyces clavuligerus	168
WP_003955664.1	B5GUZ9	unreviewed	B5GUZ9_STRCL	Uncharacterized protein	SCLAV_1390	Streptomyces clavuligerus	762
WP_003955662.1	B5GUZ7	unreviewed	B5GUZ7_STRCL	Putative secreted serine protease	sprJ SCLAV_1388	Streptomyces clavuligerus	357
WP_003955660.1	B5GUZ6	unreviewed	B5GUZ6_STRCL	ABC transporter	SCLAV_1387	Streptomyces clavuligerus	624
WP_003955659.1	B5GUZ5	unreviewed	B5GUZ5_STRCL	Putative methyltransferase	SCLAV_1386	Streptomyces clavuligerus	235
WP_003955654.1	B5GUZ2	unreviewed	B5GUZ2_STRCL	F0F1 ATP synthase	SCLAV_1383	Streptomyces clavuligerus	95
WP_003955652.1	B5GUZ0	unreviewed	B5GUZ0_STRCL	Two-component system response regulator	SCLAV_1381	Streptomyces clavuligerus	228
WP_003955651.1	B5GUY9	unreviewed	B5GUY9_STRCL	Integral membrane efflux protein	SCLAV_1380	Streptomyces clavuligerus	1046
WP_003955650.1	B5GUY8	unreviewed	B5GUY8_STRCL	Alpha/beta hydrolase	SCLAV_1379	Streptomyces clavuligerus	230
WP_003960220.1	E2Q0R0	unreviewed	E2Q0R0_STRCL	Carbohydrate kinase (EC 2.7.1.20)	SCLAV_1374	Streptomyces clavuligerus	324
WP_003955642.1	B5GUY1	unreviewed	B5GUY1_STRCL	Aminotransferase	SCLAV_1373	Streptomyces clavuligerus	455
WP_003955640.1	B5GUX9	unreviewed	B5GUX9_STRCL	cytochrome-c oxidase (EC 7.1.1.9) (Cytochrome aa3 subunit 2)	SCLAV_1372	Streptomyces clavuligerus	321
WP_003955639.1	B5GUX8	unreviewed	B5GUX8_STRCL	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	coxa SCLAV_1371	Streptomyces clavuligerus	579
WP_003955638.1	B5GUX7	unreviewed	B5GUX7_STRCL	Cytochrome c oxidase polypeptide 4 (EC 7.1.1.9) (Cytochrome aa3 subunit 4) (Cytochrome c oxidase polypeptide IV)	SCLAV_1370	Streptomyces clavuligerus	132
WP_003955636.1	B5GUX5	unreviewed	B5GUX5_STRCL	Two-component system response regulator	SCLAV_1368	Streptomyces clavuligerus	133
WP_003955635.1	B5GUX4	unreviewed	B5GUX4_STRCL	cytochrome-c oxidase (EC 7.1.1.9) (Cytochrome aa3 subunit 3) (Cytochrome c oxidase polypeptide III)	cox SCLAV_1367	Streptomyces clavuligerus	205
WP_003955634.1	B5GUX3	unreviewed	B5GUX3_STRCL	Cytochrome bc1 complex cytochrome c subunit (EC 7.1.1.8)	qcrC SCLAV_1366	Streptomyces clavuligerus	270
WP_003955633.1	B5GUX2	unreviewed	B5GUX2_STRCL	Cytochrome bc1 complex Rieske iron-sulfur subunit (Cytochrome bc1 reductase complex subunit QcrA) (Rieske iron-sulfur protein)	SCLAV_1365	Streptomyces clavuligerus	360
WP_003955632.1	B5GUX1	unreviewed	B5GUX1_STRCL	Cytochrome bc1 complex cytochrome b subunit (EC 7.1.1.8) (Cytochrome bc1 reductase complex subunit QcrB)	SCLAV_1364	Streptomyces clavuligerus	546
WP_003955631.1	B5GUX0	unreviewed	B5GUX0_STRCL	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	trpD SCLAV_1363	Streptomyces clavuligerus	359
WP_003960217.1	E2Q0P7	unreviewed	E2Q0P7_STRCL	Putative aminotransferase	SCLAV_1361	Streptomyces clavuligerus	457
WP_003955628.1	B5GUW7	unreviewed	B5GUW7_STRCL	Glycerate kinase (EC 2.7.1.31)	SCLAV_1360	Streptomyces clavuligerus	400
WP_003955627.1	B5GUW6	unreviewed	B5GUW6_STRCL	Integral membrane transporter	SCLAV_1359	Streptomyces clavuligerus	470
WP_003955626.1	B5GUW5	unreviewed	B5GUW5_STRCL	Two component system response regulator	SCLAV_1358	Streptomyces clavuligerus	220
WP_003960216.1	E2Q0P3	unreviewed	E2Q0P3_STRCL	histidine kinase (EC 2.7.13.3)	SCLAV_1357	Streptomyces clavuligerus	499
WP_003955624.1	B5GUW3	unreviewed	B5GUW3_STRCL	Small secreted hydrophilic protein	SCLAV_1356	Streptomyces clavuligerus	137
WP_003955623.1	B5GUW2	unreviewed	B5GUW2_STRCL	Putative transcriptional regulator	SCLAV_1355	Streptomyces clavuligerus	93
WP_003960215.1	E2Q0P0	unreviewed	E2Q0P0_STRCL	Integral membrane protein	SCLAV_1354	Streptomyces clavuligerus	247
WP_003960213.1	E2Q0N8	unreviewed	E2Q0N8_STRCL	DUF901 domain-containing protein	SCLAV_1352	Streptomyces clavuligerus	453
WP_003960212.1	E2Q0N7	unreviewed	E2Q0N7_STRCL	NLP/P60-family protein	SCLAV_1351	Streptomyces clavuligerus	361
WP_003960210.1	E2Q0N5	unreviewed	E2Q0N5_STRCL	Lipoprotein	SCLAV_1349	Streptomyces clavuligerus	411
WP_003960209.1	E2Q0N4	unreviewed	E2Q0N4_STRCL	Integral membrane protein	SCLAV_1348	Streptomyces clavuligerus	397
WP_003958216.1	B5H1R9	unreviewed	B5H1R9_STRCL	Acyl-CoA synthetase	SCLAV_1345	Streptomyces clavuligerus	597
WP_003958215.1	B5H1R8	unreviewed	B5H1R8_STRCL	Metallophos domain-containing protein	SCLAV_1344	Streptomyces clavuligerus	270
WP_003958214.1	B5H1R7	unreviewed	B5H1R7_STRCL	Cyclase/dehydrase	SCLAV_1343	Streptomyces clavuligerus	149
WP_003958213.1	B5H1R6	unreviewed	B5H1R6_STRCL	Ion transporting ATPase (EC 3.6.3.16)	SCLAV_1342	Streptomyces clavuligerus	421
WP_003960206.1	C6GZ82	unreviewed	C6GZ82_STRCL	Glucokinase (EC 2.7.1.2) (Glucose kinase)	glkA SCLAV_1340	Streptomyces clavuligerus	313
WP_003960205.1	E2Q0M5	unreviewed	E2Q0M5_STRCL	Endonuclease/exonuclease/phosphatase	SCLAV_1339	Streptomyces clavuligerus	251
WP_003960204.1	E2Q0M4	unreviewed	E2Q0M4_STRCL	Integral membrane protein	SCLAV_1338	Streptomyces clavuligerus	185
WP_003960201.1	E2Q0M1	unreviewed	E2Q0M1_STRCL	Two-component system sensor kinase	SCLAV_1335	Streptomyces clavuligerus	412
WP_003958205.1	B5H1Q8	unreviewed	B5H1Q8_STRCL	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase (EC 2.7.1.90) (6-phosphofructokinase, pyrophosphate dependent) (PPi-dependent phosphofructokinase) (PPi-PFK) (Pyrophosphate-dependent 6-phosphofructose-1-kinase)	pfkA pfp SCLAV_1333	Streptomyces clavuligerus	342
WP_003960199.1	E2PZV2	unreviewed	E2PZV2_STRCL	Anthranilate synthase component 1 (EC 4.1.3.27)	SCLAV_1332	Streptomyces clavuligerus	648
WP_003958203.1	B5H1Q6	unreviewed	B5H1Q6_STRCL	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	aroF SCLAV_1331	Streptomyces clavuligerus	450
WP_003958202.1	B5H1Q5	unreviewed	B5H1Q5_STRCL	Bacterioferritin-associated ferredoxin	SCLAV_1330	Streptomyces clavuligerus	84
WP_003958200.1	B5H1Q3	unreviewed	B5H1Q3_STRCL	Molybdopterin binding oxidoreductase	SCLAV_1328	Streptomyces clavuligerus	210
WP_003958199.1	B5H1Q2	unreviewed	B5H1Q2_STRCL	Probable endonuclease 4 (EC 3.1.21.2) (Endodeoxyribonuclease IV) (Endonuclease IV)	nfo SCLAV_1327	Streptomyces clavuligerus	283
WP_003960197.1	E2PZU6	unreviewed	E2PZU6_STRCL	non-specific serine/threonine protein kinase (EC 2.7.11.1)	SCLAV_1326	Streptomyces clavuligerus	644
WP_003958197.1	B5H1Q0	unreviewed	B5H1Q0_STRCL	Thiazole synthase (EC 2.8.1.10)	thiG SCLAV_1325	Streptomyces clavuligerus	264
WP_003960196.1	E2PZU4	unreviewed	E2PZU4_STRCL	Putative sulfur transfer protein involved in thiamine biosynthesis	thiS SCLAV_1324	Streptomyces clavuligerus	71
WP_003960195.1	E2PZU3	unreviewed	E2PZU3_STRCL	Putative glycine oxidase (EC 1.4.3.19)	SCLAV_1323	Streptomyces clavuligerus	445
WP_003960194.1	E2PZU2	unreviewed	E2PZU2_STRCL	N-acetylglutamate synthase	SCLAV_1322	Streptomyces clavuligerus	112
WP_003960192.1	E2PZU0	unreviewed	E2PZU0_STRCL	Transcriptional regulatory protein	SCLAV_1320	Streptomyces clavuligerus	121
WP_003960191.1	E2PZT9	unreviewed	E2PZT9_STRCL	Thiamine-phosphate synthase (TP synthase) (TPS) (EC 2.5.1.3) (Thiamine-phosphate pyrophosphorylase) (TMP pyrophosphorylase) (TMP-PPase)	thiE SCLAV_1319	Streptomyces clavuligerus	222
WP_003960190.1	E2PZT8	unreviewed	E2PZT8_STRCL	Methylenetetrahydrofolate reductase (EC 1.5.1.54)	SCLAV_1318	Streptomyces clavuligerus	305
WP_003960189.1	E2PZT7	unreviewed	E2PZT7_STRCL	Putative membrane protein	SCLAV_1317	Streptomyces clavuligerus	308
WP_003960185.1	E2PZT3	unreviewed	E2PZT3_STRCL	ABC-2 type transporter	SCLAV_1313	Streptomyces clavuligerus	698
WP_003960184.1	E2PZT2	unreviewed	E2PZT2_STRCL	ABC transporter ATP-binding protein	SCLAV_1312	Streptomyces clavuligerus	289
WP_003960180.1	E2PZS8	unreviewed	E2PZS8_STRCL	Putative membrane protein	SCLAV_1308	Streptomyces clavuligerus	809
WP_003956672.1	B5GXN5	unreviewed	B5GXN5_STRCL	Putative membrane protein	SCLAV_1307	Streptomyces clavuligerus	449
WP_003956673.1	B5GXN6	unreviewed	B5GXN6_STRCL	Putative regulatory protein (EC 3.6.3.-)	SCLAV_1306	Streptomyces clavuligerus	340
WP_003956677.1	B5GXN9	unreviewed	B5GXN9_STRCL	Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH)	rsmH SCLAV_1303	Streptomyces clavuligerus	318
WP_003960177.1	E2PZS2	unreviewed	E2PZS2_STRCL	Septum formation initiator	SCLAV_1302	Streptomyces clavuligerus	212
WP_003960176.1	E2PZS1	unreviewed	E2PZS1_STRCL	Cell division protein FtsI/penicillin-binding protein (EC 2.4.1.129)	SCLAV_1301	Streptomyces clavuligerus	657
WP_003960175.1	E2PZS0	unreviewed	E2PZS0_STRCL	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)	murE SCLAV_1300	Streptomyces clavuligerus	561
WP_003956682.1	B5GXP3	unreviewed	B5GXP3_STRCL	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10) (D-alanyl-D-alanine-adding enzyme)	murF SCLAV_1299	Streptomyces clavuligerus	479
WP_003956683.1	B5GXP4	unreviewed	B5GXP4_STRCL	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13) (UDP-MurNAc-pentapeptide phosphotransferase)	mraY2 mraY SCLAV_1298	Streptomyces clavuligerus	356
WP_003956685.1	B5GXP5	unreviewed	B5GXP5_STRCL	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9) (D-glutamic acid-adding enzyme) (UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase)	murD SCLAV_1297	Streptomyces clavuligerus	492
WP_003956687.1	B5GXP7	unreviewed	B5GXP7_STRCL	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	murG SCLAV_1295	Streptomyces clavuligerus	364
WP_003956688.1	B5GXP8	unreviewed	B5GXP8_STRCL	Cell division protein FtsQ	ftsQ SCLAV_1294	Streptomyces clavuligerus	267
WP_003956690.1	B5GXQ0	unreviewed	B5GXQ0_STRCL	Cell division protein FtsZ	ftsZ SCLAV_1292	Streptomyces clavuligerus	400
WP_003960173.1	E2PZR1	unreviewed	E2PZR1_STRCL	Purine nucleoside phosphorylase	SCLAV_1291	Streptomyces clavuligerus	261
WP_003956693.1	B5GXQ2	unreviewed	B5GXQ2_STRCL	Pyridoxal phosphate homeostasis protein (PLP homeostasis protein)	SCLAV_1290	Streptomyces clavuligerus	247
WP_003956696.1	B5GXQ4	unreviewed	B5GXQ4_STRCL	Predicted integral membrane protein	SCLAV_1288	Streptomyces clavuligerus	95
WP_003956697.1	B5GXQ5	unreviewed	B5GXQ5_STRCL	Cell wall synthesis protein Wag31 (Antigen 84)	SCLAV_1287	Streptomyces clavuligerus	368
WP_003956698.1	B5GXQ6	unreviewed	B5GXQ6_STRCL	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	ileS SCLAV_1285	Streptomyces clavuligerus	1047
WP_003956702.1	B5GXQ9	unreviewed	B5GXQ9_STRCL	Lipoprotein signal peptidase (EC 3.4.23.36) (Prolipoprotein signal peptidase) (Signal peptidase II) (SPase II)	lspA SCLAV_1283	Streptomyces clavuligerus	189
WP_003956703.1	B5GXR0	unreviewed	B5GXR0_STRCL	Pseudouridine synthase (EC 5.4.99.-)	SCLAV_1282	Streptomyces clavuligerus	313
WP_003956704.1	B5GXR1	unreviewed	B5GXR1_STRCL	Sodium/proton antiporter	SCLAV_1281	Streptomyces clavuligerus	528
WP_003956707.1	B5GXR4	unreviewed	B5GXR4_STRCL	Dienelactone hydrolase	SCLAV_1278	Streptomyces clavuligerus	191
WP_003956708.1	B5GXR5	unreviewed	B5GXR5_STRCL	Alkaline phosphatase (EC 3.1.3.1)	SCLAV_1277	Streptomyces clavuligerus	560
WP_003956709.1	B5GXR6	unreviewed	B5GXR6_STRCL	DSBA oxidoreductase	SCLAV_1276	Streptomyces clavuligerus	271
WP_003956713.1	B5GXS0	unreviewed	B5GXS0_STRCL	DNA polymerase III subunit alpha (EC 2.7.7.7)	dnaE SCLAV_1273	Streptomyces clavuligerus	1179
WP_003956715.1	B5GXS2	unreviewed	B5GXS2_STRCL	Putative membrane protein	SCLAV_1268	Streptomyces clavuligerus	204
WP_003960162.1	E2PZN7	unreviewed	E2PZN7_STRCL	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase (EC 4.2.-.-)	SCLAV_1267	Streptomyces clavuligerus	165
WP_003960160.1	E2PZN5	unreviewed	E2PZN5_STRCL	DUF4034 domain-containing protein	SCLAV_1265	Streptomyces clavuligerus	346
WP_003956719.1	B5GXS6	unreviewed	B5GXS6_STRCL	Membrane-associated oxidoreductase	SCLAV_1263	Streptomyces clavuligerus	534
WP_003956720.1	B5GXS7	unreviewed	B5GXS7_STRCL	Histidinol dehydrogenase (HDH) (EC 1.1.1.23)	hisD SCLAV_1262	Streptomyces clavuligerus	440
WP_003956722.1	B5GXS9	unreviewed	B5GXS9_STRCL	Imidazoleglycerol-phosphate dehydratase (IGPD) (EC 4.2.1.19)	hisB SCLAV_1260	Streptomyces clavuligerus	197
WP_003960157.1	E2PZM9	unreviewed	E2PZM9_STRCL	Amidotransferase	SCLAV_1259	Streptomyces clavuligerus	54
WP_003960156.1	E2PZM8	unreviewed	E2PZM8_STRCL	Imidazole glycerol phosphate synthase subunit HisH (EC 4.3.2.10) (IGP synthase glutaminase subunit) (EC 3.5.1.2) (IGP synthase subunit HisH) (ImGP synthase subunit HisH) (IGPS subunit HisH)	hisH hisH2 SCLAV_1258	Streptomyces clavuligerus	214
WP_003956725.1	B5GXT2	unreviewed	B5GXT2_STRCL	Phosphoribosyl isomerase A (1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase) (EC 5.3.1.16) (N-(5'-phosphoribosyl)anthranilate isomerase) (PRAI) (EC 5.3.1.24) (Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase)	priA hisA SCLAV_1257	Streptomyces clavuligerus	241
WP_003960155.1	E2PZM6	unreviewed	E2PZM6_STRCL	Putative translation initiation inhibitor, yjgF family	SCLAV_1256	Streptomyces clavuligerus	140
